device,model,horizon_h,threshold_mm,subset,n,mae,rmse,skill_vs_persistence,skill_fold_min,gate_fired_frac
SE01-LS-3,gated_wb,24,5.0,all,1383,0.2982,0.6907,-0.0582,-0.5591,0.0513
SE01-LS-3,gated_wb_selected,24,,all,1383,0.2982,0.6907,-0.0582,-0.5591,0.0513
SE01-LS-3,gated_wb,24,0.5,fired,86,1.9639,2.5546,-0.1524,-5.5047,0.0622
SE01-LS-3,gated_wb,24,1.0,fired,86,1.9639,2.5546,-0.1524,-5.5047,0.0622
SE01-LS-3,gated_wb,24,2.0,fired,83,2.0269,2.5999,-0.1546,-5.5047,0.06
SE01-LS-3,gated_wb,24,5.0,fired,71,2.095,2.5515,-0.1798,-6.1335,0.0513
SE01-LS-3,gated_wb_selected,24,,fired,71,2.095,2.5515,-0.1798,-6.1335,0.0513
SE01-LS-3,persistence,48,,event,65,3.1285,3.3353,0.0,0.0,
SE01-LS-3,gated_wb,48,0.5,event,65,2.3836,2.71,0.2381,0.2381,0.1325
SE01-LS-3,gated_wb,48,1.0,event,65,2.3836,2.71,0.2381,0.2381,0.1295
SE01-LS-3,gated_wb,48,2.0,event,65,2.3836,2.71,0.2381,0.2381,0.1251
SE01-LS-3,gated_wb,48,5.0,event,65,2.3847,2.7081,0.2377,0.2377,0.0846
SE01-LS-3,gated_wb_selected,48,,event,65,2.3847,2.7081,0.2377,0.2377,0.0876
SE01-LS-3,persistence,48,,quiet,1294,0.3698,0.515,0.0,0.0,
SE01-LS-3,gated_wb,48,0.5,quiet,1294,0.366,0.5053,0.0103,-0.0003,0.1325
SE01-LS-3,gated_wb,48,1.0,quiet,1294,0.3671,0.5066,0.0075,-0.0117,0.1295
SE01-LS-3,gated_wb,48,2.0,quiet,1294,0.3671,0.5069,0.0073,-0.0167,0.1251
SE01-LS-3,gated_wb,48,5.0,quiet,1294,0.3657,0.506,0.011,0.0,0.0846
SE01-LS-3,gated_wb_selected,48,,quiet,1294,0.3666,0.5068,0.0087,0.0,0.0876
SE01-LS-3,persistence,48,,all,1359,0.5018,0.8858,0.0,0.0,
SE01-LS-3,gated_wb,48,0.5,all,1359,0.4625,0.771,0.0782,-0.0003,0.1325
SE01-LS-3,gated_wb,48,1.0,all,1359,0.4635,0.7717,0.0762,-0.0117,0.1295
SE01-LS-3,gated_wb,48,2.0,all,1359,0.4636,0.772,0.0761,-0.0167,0.1251
SE01-LS-3,gated_wb,48,5.0,all,1359,0.4623,0.7711,0.0786,0.0,0.0846
SE01-LS-3,gated_wb_selected,48,,all,1359,0.4631,0.7716,0.077,0.0,0.0876
SE01-LS-3,gated_wb,48,0.5,fired,180,1.0834,1.6656,0.2148,-0.0013,0.1325
SE01-LS-3,gated_wb,48,1.0,fired,176,1.0985,1.6831,0.2119,-0.0491,0.1295
SE01-LS-3,gated_wb,48,2.0,fired,170,1.1162,1.7085,0.2148,-0.0742,0.1251
SE01-LS-3,gated_wb,48,5.0,fired,115,1.3787,2.0006,0.2527,0.2483,0.0846
SE01-LS-3,gated_wb_selected,48,,fired,119,1.3496,1.9693,0.2463,0.1931,0.0876
SE01-LS-4,persistence,6,,event,31,1.3532,1.9487,0.0,0.0,
