device,fold,model,n,n_event,n_censored,ibs,brier_6h,brier_12h,brier_24h,brier_48h,skill_vs_km-train,skill_vs_drydown-clock,skill_vs_gauss-continuous
SE01-LS-3,3,km-train,402,12,0,0.154202,0.003391,0.023371,0.098077,0.436322,0.000000,-17.832135,-4.087590
SE01-LS-3,4,drydown-clock,71,0,47,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,1.000000
SE01-LS-3,4,fhs-discrete,71,0,47,0.003312,0.000000,0.000000,0.000103,0.022229,0.972675,,0.510900
SE01-LS-3,4,fhs-hazard-blend,71,0,47,0.006768,0.000024,0.000187,0.001295,0.034106,0.944161,,0.000526
SE01-LS-3,4,gauss-continuous,71,0,47,0.006772,0.000000,0.000000,0.000536,0.038071,0.944131,,0.000000
SE01-LS-3,4,gauss-discrete,71,0,47,0.005031,0.000000,0.000000,0.000314,0.029583,0.958495,,0.257107
SE01-LS-3,4,hazard-glm,71,0,47,0.011919,0.000097,0.000738,0.003828,0.048561,0.901663,,-0.760147
SE01-LS-3,4,km-train,71,0,47,0.121209,0.002608,0.017962,0.075277,0.348768,0.000000,,-16.899087
SE01-LS-4,0,drydown-clock,403,79,0,0.124225,0.057072,0.081886,0.124069,0.196030,-0.153557,0.000000,0.463552
SE01-LS-4,0,fhs-discrete,403,79,0,0.134180,0.047405,0.078943,0.143058,0.219221,-0.246000,-0.080138,0.420563
SE01-LS-4,0,fhs-hazard-blend,403,79,0,0.101668,0.047796,0.066281,0.101209,0.165202,0.055906,0.181580,0.560961
SE01-LS-4,0,gauss-continuous,403,79,0,0.231569,0.105523,0.178150,0.260601,0.323274,-1.150362,-0.864115,0.000000
SE01-LS-4,0,gauss-discrete,403,79,0,0.182659,0.068791,0.126285,0.203775,0.273139,-0.696187,-0.470397,0.211209
SE01-LS-4,0,hazard-glm,403,79,0,0.095932,0.052570,0.072339,0.099438,0.137787,0.109169,0.227753,0.585730
SE01-LS-4,0,km-train,403,79,0,0.107688,0.053851,0.075521,0.108837,0.166129,0.000000,0.133116,0.534962
SE01-LS-4,1,drydown-clock,144,22,47,0.047762,0.000000,0.000000,0.000000,0.206875,0.026726,0.000000,0.542681
SE01-LS-4,1,fhs-discrete,144,22,47,0.061796,0.000672,0.004711,0.032201,0.179953,-0.259255,-0.293834,0.408305
SE01-LS-4,1,fhs-hazard-blend,144,22,47,0.047935,0.000718,0.002740,0.014999,0.160835,0.023202,-0.003621,0.541025
SE01-LS-4,1,gauss-continuous,144,22,47,0.104438,0.001737,0.020089,0.093420,0.230126,-1.128216,-1.186656,0.000000
SE01-LS-4,1,gauss-discrete,144,22,47,0.084563,0.000695,0.011265,0.065806,0.206026,-0.723198,-0.770517,0.190309
SE01-LS-4,1,hazard-glm,144,22,47,0.041860,0.000829,0.001388,0.004357,0.161493,0.146981,0.123558,0.599186
SE01-LS-4,1,km-train,144,22,47,0.049073,0.002713,0.004436,0.012900,0.168610,0.000000,-0.027460,0.530123
SE01-LS-4,2,drydown-clock,389,185,26,0.154874,0.000000,0.023672,0.056004,0.508530,-0.352969,0.000000,-0.321964
SE01-LS-4,2,fhs-discrete,389,185,26,0.124692,0.000002,0.023657,0.055715,0.336681,-0.089304,0.194879,-0.064341
SE01-LS-4,2,fhs-hazard-blend,389,185,26,0.125395,0.000141,0.023053,0.054180,0.357912,-0.095447,0.190339,-0.070343
SE01-LS-4,2,gauss-continuous,389,185,26,0.117154,0.000000,0.023778,0.058279,0.300568,-0.023453,0.243550,0.000000
SE01-LS-4,2,gauss-discrete,389,185,26,0.119492,0.000000,0.023714,0.056962,0.314240,-0.043873,0.228457,-0.019952
SE01-LS-4,2,hazard-glm,389,185,26,0.126687,0.000530,0.022756,0.052905,0.382097,-0.106727,0.182001,-0.081366
SE01-LS-4,2,km-train,389,185,26,0.114470,0.002323,0.024555,0.055308,0.308635,0.000000,0.260885,0.022916
SE01-LS-4,3,drydown-clock,402,92,0,0.113132,0.009950,0.042289,0.109453,0.228856,-0.191585,0.000000,-0.135403
SE01-LS-4,3,fhs-discrete,402,92,0,0.099776,0.009948,0.042138,0.103676,0.192632,-0.050904,0.118062,-0.001355
SE01-LS-4,3,fhs-hazard-blend,402,92,0,0.096794,0.009774,0.040711,0.101089,0.182674,-0.019500,0.144417,0.028568
SE01-LS-4,3,gauss-continuous,402,92,0,0.099641,0.009950,0.042169,0.101247,0.201282,-0.049482,0.119255,0.000000
SE01-LS-4,3,gauss-discrete,402,92,0,0.099072,0.009950,0.042208,0.102238,0.194438,-0.043494,0.124281,0.005706
SE01-LS-4,3,hazard-glm,402,92,0,0.095517,0.010047,0.039986,0.099446,0.179262,-0.006052,0.155703,0.041382
SE01-LS-4,3,km-train,402,92,0,0.094943,0.010910,0.040692,0.097594,0.179651,0.000000,0.160782,0.047149
SE01-LS-4,4,drydown-clock,71,0,47,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,1.000000
SE01-LS-4,4,fhs-discrete,71,0,47,0.002406,0.000000,0.000000,0.000006,0.023302,0.897123,,0.441626
