device,model,horizon_h,n,mae,rmse,skill_vs_persistence,skill_fold_median,skill_fold_min,precision,recall
SE01-LS-1,persistence,12,1360,0.17710208534129931,0.4284061231412271,0.0,0.0,0.0,1.0,1.0
SE01-LS-1,pooled_ridge,12,1360,0.2885207634938654,0.4462998799356244,-0.6291212095998049,-0.9476224598758285,-2.868322419853013,1.0,1.0
SE01-LS-2,persistence,12,1360,0.17825606688665144,0.525111632607734,0.0,0.0,0.0,0.984779299847793,0.984779299847793
SE01-LS-2,pooled_ridge,12,1360,0.3846104815190637,0.5651912761592516,-1.1576291244192425,-1.8355164849235974,-4.63653888401021,0.9878234398782344,0.9878234398782344
SE01-LS-3,persistence,12,1360,0.21056161647202726,0.5702468753930078,0.0,0.0,0.0,0.996309963099631,0.996309963099631
SE01-LS-3,pooled_ridge,12,1360,0.3004088021788832,0.510595614231667,-0.42670258336847455,-0.6292341295568988,-2.114004307705004,0.9963208241353937,0.9992619926199262
SE01-LS-4,persistence,12,1360,0.1304841404309944,0.4280543974244277,0.0,0.0,0.0,0.9810126582278481,0.9704830053667263
SE01-LS-4,pooled_ridge,12,1360,0.2510337552604949,0.44787554330192497,-0.9238641143001762,-0.7812772168782776,-2.8806037276061933,0.971093044263776,0.9615384615384616
SE0X-LS-1,persistence,12,1360,0.10043477810534095,0.2134416807696191,0.0,0.0,0.0,1.0,1.0
SE0X-LS-1,pooled_ridge,12,1360,0.28147228881574626,0.42526339451093226,-1.802538066251555,-2.017342980423906,-5.49034929653588,1.0,1.0
ALL,persistence,24,6740,0.23849157097048113,0.5730715736167877,0.0,0.0,0.0,0.9909787234042553,0.986946940159349
ALL,pooled_ridge,24,6740,0.41857566721098227,0.5694863932637035,-0.7550962724078443,-1.2466134298796638,-4.111887410157882,0.9853015712113533,0.988642142736057
SE01-LS-1,persistence,24,1348,0.2840290404837656,0.591702222101003,0.0,0.0,0.0,1.0,1.0
SE01-LS-1,pooled_ridge,24,1348,0.40221888971427316,0.5325306260720021,-0.4161188906219011,-1.1132821549266296,-3.7846381965985696,1.0,1.0
SE01-LS-2,persistence,24,1348,0.26554673027357745,0.6684122357282825,0.0,0.0,0.0,0.9815668202764977,0.9815668202764977
SE01-LS-2,pooled_ridge,24,1348,0.4969923581794501,0.6428883258618681,-0.871581539216949,-1.85979789527661,-5.386913690885189,0.9815950920245399,0.9831029185867896
SE01-LS-3,persistence,24,1348,0.2849137961702857,0.6964069528653822,0.0,0.0,0.0,0.996276991809382,0.996276991809382
SE01-LS-3,pooled_ridge,24,1348,0.40220249498363464,0.5601717368797435,-0.4116638098607497,-0.40238913565683165,-6.100482689504519,0.9962908011869436,1.0
SE01-LS-4,persistence,24,1348,0.20360734620734774,0.5177566886813502,0.0,0.0,0.0,0.977818853974122,0.9566003616636528
SE01-LS-4,pooled_ridge,24,1348,0.39352167640051006,0.5386872603681825,-0.9327479274729074,-1.8290564949725532,-2.4136943423589594,0.9481680071492404,0.9593128390596745
SE0X-LS-1,persistence,24,1348,0.15436094171742906,0.30350300369854244,0.0,0.0,0.0,1.0,1.0
SE0X-LS-1,pooled_ridge,24,1348,0.3979429167770437,0.566306590149318,-1.578002649825189,-1.8675944460164429,-6.113691768300422,1.0,1.0
ALL,persistence,48,6645,0.42825715614502985,0.7524710158242104,0.0,0.0,0.0,0.9838429464906184,0.9757064093728464
ALL,pooled_ridge,48,6645,0.5763783113574243,0.7015792483965039,-0.34586965585283314,-0.768758776149302,-2.8064191216195042,0.9790780745024664,0.9917298414886285
SE01-LS-1,pooled_ridge,48,1329,0.5207968872212331,0.6165412405292628,0.006360794120502833,-0.6167777228941018,-2.7752911601907715,1.0,1.0
SE01-LS-1,persistence,48,1329,0.5241307751743366,0.84699742425545,0.0,0.0,0.0,1.0,1.0
SE01-LS-2,persistence,48,1329,0.4752850200906355,0.8672463703871753,0.0,0.0,0.0,0.9688230709275136,0.9688230709275136
